name,idn,address,tvc,district,state,pincode,landline,website,h_email,h_name,h_designation,h_type,h_joining,h_te,h_re,h_ie,h_landline,h_fax,h_email
"D. L. PATEL INSTITUTE OF MANAGEMENT & TECHNOLOGY, MBA COLLEGE",1-4369084,"7/B PANNA PARK ,MAHAVIRNAGAR,HIMATNAGAR,SABARKANTHA,GUJARAT., SABARKANTHA, HIMATNAGAR, Gujarat, 383001",HIMATNAGAR,SABARKANTHA,Gujarat,383001,2772 - 2772244621,www.vidhyanagari.org,info@vidhyanagari.org,PRAMOD VASWANI,CHAIRMAN,Regular,16-Feb-15,1 years,4 years,26 years,-,245120,info@vidhyanagari.org
D. Y. PATIL COLLEGE OF ENGINEERING & TECHNOLOGY,1-5880923,"D.Y.PATIL COLLEGE OF ENGG.  DEPARTMENT OF CSE  KASABA BAVADA, KOLHAPUR, KOLHAPUR, Maharashtra, 416006",KOLHAPUR,KOLHAPUR,Maharashtra,416006,231 - 2601431,www.dypkopeng.ac.in,vijayghorpade@rediffmail.com,VIJAY GHORPADE,SR.COMPUTER PROGRAMMER,Regular,24-May-10,21 years,4 years,0 years,231 - 2601431,2601432,vijayghorpade@rediffmail.com
D. Y. PATIL INSTITUTE OF ENGINEERING AND TECHNOLOGY,1-4277321,"SR.124,126, A/P AMBI, TALEGAON DABHADE,TAL-. MAVAL,DIST-PUNE, PUNE, TALEGAON DABHADE, Maharashtra, 410506",PUNE,PUNE,Maharashtra,410506,2114 - 287048,www.dypiet.com,svp.ambi@gmail.com,RUPESH PATIL,PRO,Regular,14-Feb-14,7 years,0 years,7 years,2114 - 28708,287669,svp.ambi@gmail.com
D. Y. PATIL SCHOOL OF ENGINEERING ACADEMY,1-775019991,"SR. NO. 124,126, A/P AMBI, TQ. MAVAL, PUNE, PUNE, Maharashtra, 410506",TALEGAON DABHADE,PUNE,Maharashtra,410506,2114 - 287669,www.dypatil.com,svp.ambi@gmail.com,VILAS NITNAWARE,PRO,Regular,01-Mar-13,16 years,0 years,3 years,2114 - 302030,287669,svp.ambi@gmail.com
D.A.DIPLOMA ENGINEERING & TECHNOLOGY,1-431030171,"264,PREMCHAND NAGAR,  SATELLITE,  AHMEDABAD, AHMEDABAD, AHMEDABAD, Gujarat, 380085",MAHEMDABAD,AHMEDABAD,Gujarat,387130,2694 - 244781,www.dadet.in,dhariniedu@yahoo.com,JIGNESH PATEL,SECRETARY,Regular,28-Mar-13,6 years,0 years,11 years,2694 - 244781,40035969,dhariniedu@yahoo.com
"D.A.V. VELANKAR COLLEGE OF COMMERCE, SOLAPUR",1-8687183,"71 SAHAYOGI NAGAR NEAR BHAGAT DP JULE SOLAPUR, SOLAPUR, SOLAPUR, Maharashtra, 413002",SOLAPUR,NEW DELHI,Delhi,413002,217 - 2323194,www.davsolapur.org,spr_davvccs@bsnl.in,KIRTI PANDEY,PRINCIPAL,Regular,01-Oct-92,23 years,2 years,0 years,217 - 2323194,2728900,spr_davvccs@bsnl.in
"D.B.GROUP OF INSTITUTIONS, SCHOOL OF TECHNOLOGY",1-1345983571,"D.B.INSTITUTE OF TECHNOLOGY(POLY)  LATUR, LATUR, LATUR, Maharashtra, 413512",LATUR,LATUR,Maharashtra,412513,2381 - 259009,www.dbimrlatur.org,dbimr@yahoo.com,SHRIKANT DHAGE,PRESIDENT,Regular,01-Jan-15,6 years,0 years,6 years,2381 - 259009,290495,dbimr@yahoo.com
D.BANUMAIAH'S POLYTECHNIC,1-475319561,"THE PRINCIPAL,  D.BANUMAIAH'S POLYTECHNIC,  M.G.ROAD,  UDAYAGIRI, MYSORE-570019., MYSORE, MYSORE, Karnataka, 570019",MYSORE,MYSORE,Karnataka,570019,821 - 8212451317,www.banumaiahpt.edu.in,ddbp325@gmail.com,KOMALA V.C,PRINCIPAL,Regular,01-Sep-86,29 years,0 years,0 years,821 - 2451317,8212451317,komala_vc@yahoo.co.in
D.E.I. TECHNICAL COLLEGE,1-496299171,"4/58, VIDYUT NAGAR, DAYALBAGH, AGRA 282005, AGRA, AGRA, Uttar Pradesh, 282005",AGRA,AGRA,Uttar Pradesh,282005,562 - 2962458,www.dei.ac.in,principaltc@dei.ac.in,PREM KUMAR KALRA,"PRINCIPAL, DEI TECHNICAL COLLEGE",Regular,14-Sep-13,23 years,23 years,0 years,562 - 2801545,2810226,principaltc@dei.ac.in
D.J. COLLEGE OF ENGINEERING & TECHNOLOGY,1-6899059,"D J COLLEGE OF ENGG & TECHNOLOGY, NIWARI ROAD, GHAZIABAD, MODINAGAR, Uttar Pradesh, 201204",MODINAGAR,GHAZIABAD,Uttar Pradesh,201204,1232 - 325052,www.djengineering.org,director.djcet@gmail.com,DEEPANKAR SHARMA,DIRECTOR,Regular,14-Aug-14,16 years,9 years,0 years,1232 - 325052,229342,director.djcet@gmail.com
D.J.ACADEMY FOR MANAGERIAL EXCELLENCE,1-6281741,"NO1.SIRUVANI STREET, KAMADHENU NAGAR, COIMBATORE, GANAPATHY POST, Tamil Nadu, 641006",COIMBATORE,COIMBATORE,Tamil Nadu,641032,422 - 2610333,www.djacademy.ac.in,office@djacademy.ac.in,N DR.NANJUNDARAJ PREM ANAND,PRINCIPAL,Regular,02-Jul-12,19 years,5 years,2 years,422 - 2610333,2610428,principal@djacademy.ac.in
D.K.T.E. SOCIETY'S TEXTILE & ENGINEERING INSTITUTE,1-2404851,"TEXTILE & ENGINEERING INSTITUTE, KOLHAPUR, 'RAJWADA', ICHALKARANJI, Maharashtra, 416115",ICHALKARANJI,KOLHAPUR,Maharashtra,416115,230 - 2421300,www.dktes.com,dktestextile@gmail.com,PRADYUMKUMAR KADOLE,PRINCIPAL,Regular,06-Sep-90,26 years,4 years,0 years,230 - 2437311,2432329,pvkadole@gmail.com
"D.K.T.E.SOCIETY'S TEXTILE & ENGINEERING INSTITUTE, ICHALKARANJI",1-451550371,"TEXTILE & ENGINEERING INSTITUTE, ICHALKARANJI, KOLHAPUR, ICHALKARANJI, Maharashtra, 416115",ICHALKARANJI,KOLHAPUR,Maharashtra,416115,230 - 2421300,www.dktes.com,dkte@sancharnet.in,PRADYUMKUMAR KADOLE,PRINCIPAL,Regular,06-Sep-90,24 years,4 years,1 years,230 - 2437311,2432329,pvkadole@gmail.com
"D.L.PATEL INSTITUTE OF MANAGEMENT & TECHNOLOGY,MCA COLLEGE",1-6157111,"7/B PANNA PARK  MAHAVIRNAGAR  HIMATNAGAR, SABARKANTHA, HIMATNAGAR, Gujarat, 383001",HIMATNAGAR,SABARKANTHA,Gujarat,383001,2772 - 244621,www.vidhyanagari.org,info@vidhyanagari.org,SUKUMAR TONDALADINNE,PRESIDENT,Regular,16-Feb-15,13 years,4 years,1 years,-,245120,info@vidhyanagari.org
D.L.R COLLEGE PG COURSES (MBA PROGRAME),1-24262101,"# 8-67/2  NEAR ARUNA ARCAD,MAIN ROAD,G.MAMIDADA, EAST GODAVARI, G.MAMIDADA, Andhra Pradesh, 533344",G.MAMIDADA,EAST GODAVARI,Andhra Pradesh,533344,884 - 2319568,www.dlrcollege.org,dlrcollege@gmail.com,SRINIVASA REDDY TETALA,PRINCIPAL,Regular,14-May-12,25 years,9 years,0 years,884 - 2319568,2319568,krishnareddy.svr@gmail.com
D.L.R. COLLEGE PG COURSES,1-17722735,"#8-67/2,NEAR ARUNA ARCAD, MAIN ROAD, EAST GODAVARI, G.MAMIDADA, Andhra Pradesh, 533344",G.MAMIDADA,EAST GODAVARI,Andhra Pradesh,533344,884 - 2319568,www.dlrcollege.org,dlrcollege@gmail.com,SRINIVASA REDDY TETALA,PRINCIPAL,Regular,14-May-12,25 years,9 years,0 years,884 - 2319568,2319568,krishnareddy.svr@gmail.com
D.N.POLYTECHNIC MEERUT,1-514619561,"PRINCIPAL  D.N.POLYTECHNIC  MEERUT, MEERUT, MEERUT, Uttar Pradesh, 250103",MEERUT,MEERUT,Uttar Pradesh,250103,121 - 1212440768,www.dnpm.co.nr,dnpmeerut1234@rediffmail.com,VIRENDRA ARYA,PRINCIPAL,Regular,26-Aug-93,22 years,6 years,5 years,121 - 2604594,2441895,varya1234@rediffmail.com
D.N.S. COLLEGE OF ENGINEERING & TECHNOLOGY,1-7750107,"178, ZAKIR BAGH, SOUTH DELHI, NEAR CROWN PLAZE HOTEL, Delhi, 110025",J.P. NAGAR,SOUTH DELHI,Delhi,244222,5922 - 291283,www.dnscollege.org,salimdns@yahoo.com,SANJEEV KUMAR,CHAIRMAN,Regular,01-Nov-12,20 years,0 years,0 years,-,26315254,salimdns@yahoo.com
D.R.KARIGOWDA COLLEGE OF PHARMACY,1-22610037,"SHREYAS,UDAYAGIRI EXTENSION,HASSAN., HASSAN, HASSAN, Karnataka, 573201",HASSAN,HASSAN,Karnataka,573201,8172 - 233896,www.drkcop.com,karigowda_pharmacy@yaho.co.in,LINGAM MEKA,SECRETARY,Regular,01-Jan-11,12 years,3 years,2 years,8172 - 233896,268029,karigowda_pharmacy@yahoo.co.in
D.R.R.GOVT POLYTECHNIC,1-466462151,"PRINCIPAL,  DRR GOVT POLYTECHNIC ,HADADI ROAD ,NEAR RURAL POLICE STATION, DAVANAGERE, DAVANGERE, Karnataka, 577004",DAVANGERE,BANGALORE URBAN,Karnataka,577004,8192 - 254074,www.drrpolytechnic.org,jayappadvg@yahoo.com,JAYAPPA HANUMANTHAPPA,PRINIPAL-GARADE-I,Regular,20-Jan-06,25 years,0 years,0 years,8192 - 254074,254074,jayappadvg@yahoo.com
D.S.DINAKAR NATIONAL POLYTECHNIC,1-475364881,"D.S.DINAKAR NATIONAL POLYTECHNIC  JNNCE CAMPUS  SAVALANGA ROAD  NAVULE, SHIMOGA, SHIMOGA, Karnataka, 577204",SHIMOGA,SHIMOGA,Karnataka,577204,8182 - 640532,www.dsdnp.ac.in,dsdnp502@gmail.com,RAJASHEKARIAH PURA,PRINCIPAL,Regular,14-Jul-08,30 years,1 years,0 years,8182 - 266409,8182222450,psr_aiah@yahoo.co.in
D.S.T.S MANDAL'S COLLEGE OF PHAMACY,1-10572063,"D S T S MANDAL'S COLLEGE OF PHARMACY,   JULE SOLAPUR- I, VIJAPUR ROAD, SOLAPUR, SOLAPUR, Maharashtra, 413004",SOLAPUR,SOLAPUR,Maharashtra,413004,217 - 2343760,www.pharmacycol.org,pharmacycol@yahoo.com,RAVIKANT PATIL,PRINCIPAL,Regular,18-Sep-96,30 years,8 years,1 years,217 - 2343760,2341380,rypatilsir@gmail.com
D.Y.PATIL COLLEGE OF ENGG.& TECH. DEPT. OF ARCH.,1-14507841,"D.Y.PATIL COLLEGE OF ENGG. DEPARTMENT OF CSE KASABA BAVADA, KOLHAPUR, KOLHAPUR, Maharashtra, 416006",KOLHAPUR,KOLHAPUR,Maharashtra,416006,231 - 2601433,www.dypkopeng.ac.in,dypcet@sancharnet.in,VIJAY GHORPADE,LAB ASST.,Regular,24-May-10,25 years,8 years,0 years,231 - 2601431,2601432,dypcet@sancharnet.in
D.Y.PATIL COLLEGE OF ENGINEERING,1-12346111,"SECTOR 29 . PRADHIKARAN AKURDI,PUNE-44, PUNE, NIGDI, Maharashtra, 411044",PUNE,KOLHAPUR,Maharashtra,411044,20 - 27653054,www.dypcoeakurdi.ac.in,b_basavraj@yahoo.com,BASAVARAJ BALAPGOL,PRINCIPAL,Regular,10-Nov-14,31 years,5 years,0 years,20 - 27653054,27653057,principal@dypcoeakurdi.ac.in
D.Y.PATIL COLLEGE OF ENGINEERING & POLYTECHNIC,1-455929981,"BLOCK A 20/3-4, RAJLAXMI NAGAR ,DEVKAR PANAND ,KOLHAPUR, KOLHAPUR, KOLHAPUR, Maharashtra, 416012",TALSANDE,KOLHAPUR,Maharashtra,416112,230 - 2604095,www.dypcepolytal.com,dyploy2009@gmail.com,JAYENDRA KHOT,PRINCIPAL,Regular,02-Feb-12,20 years,0 years,3 years,230 - 2604095,2601062,jakhot@rediffmail.com
D.Y.PATIL INSTITUTE OF MANAGEMENT,1-10164651,"AT - AMBI, SR. NO. 124 & 126,   TALEGAON - DABHADE,   TAL -MAVAL, DIST - PUNE, PUNE, PUNE, Maharashtra, 410507",TALEGAON DABHADE,PUNE,Maharashtra,420506,2114 - 302084,www.dypimambi.com,director@dypimambi.com,SANJAY DHARMADHIKARI,PRO,Regular,23-Mar-11,8 years,24 years,20 years,2114 - 306233,2239167135,svp.ambi@gmail.com
"D.Y.PATIL POLYTECHNIC,AMBI",1-437673521,"SR. NO. 124 & 126, A/P AMBI, TALEGAON DABHADE, TQ. MAVL, DIST. PUNE, PUNE, PUNE, Maharashtra, 410506",TALEGAON DABHADE,PUNE,Maharashtra,410506,2114 - 287559,www.dyptc.com,sushant@dypatil.com,MANOHAR CHAVAN,PRO,Regular,27-Jun-11,5 years,0 years,3 years,2114 - 287559,2239167135,sushant@dypatil.com
D.Y.PATL COLLEGE OF ENGINEERING,1-10447061,"SR.NO.124,126, A/P AMBI,TQ.MAVAL, PUNE, PUNE, Maharashtra, 410506",PUNE,PUNE,Maharashtra,410506,2114 - 287048,www.dypcoeambi.com,svp.ambi@gmail.com,SURESH SHIRBHADURKAR,PRO,Regular,07-Jan-14,25 years,6 years,0 years,2114 - 287048,287669,svp.ambi@mail.com
DACG GOVERNMENT POLYTECHNIC,1-504984543,"PRINCIPAL  DACG GOVT. POLYTECHNIC, CHIKMAGALUR, CHIKMAGALUR, Karnataka, 577101",CHIKMAGALUR,BANGALORE URBAN,Karnataka,577101,8262 - 222411,www.dacgpolytechnic.in,dacgp1958@yahoo.com,B S UMAPATHY,PRINCIPAL,Regular,18-Oct-82,32 years,0 years,0 years,8262 - 222411,222411,dacgpckm@rediffmail.com
DADASAHEB BALPANDE COLLEGE OF PHARMACY,1-15594261,"51-C1, DAMODAR APARTMENT MATA MANDIR ROAD GOKULPETH, NAGPUR, NAGPUR, Maharashtra, 440010",NAGPUR,NAGPUR,Maharashtra,440034,7103 - 281156,www.dsbcp.org,ambedurgaedu@yahoo.co.in,UJWALA MAHAJAN,PRINCIPAL,Regular,02-Jul-07,20 years,2 years,4 years,7103 - 281156,7103281156,ambedurgaedu@yahoo.co.in
DADHICHI COLLEGE OF PHARMACY,1-4110211,"JAGANNATH BHAWAN, PLOT NO.: 1272, SRIRAM NAGAR, OLD TOWN , BHUBANESWAR, KHORDHA, BHUBANESWAR, Orissa, 751002",SUNDARGRAM,KHORDHA,Orissa,754002,671 - 2856082,www.dcp.ac.in,dcp_aran@rediffmail.com,RAJAT KUMAR KAR,ASSOCIATE PROFESSOR,Regular,17-Apr-10,11 years,7 years,0 years,671 - 2856083,2856083,rkdash60@rediffmail.com
DADI INSTITUTE OF ENGINEERING & TECHNOLOGY (DIET),1-8547648,"DIET,NH-5,  ANAKAPALLE-531002,VISAKHAPATNAM (DT.), VISHAKHAPATNAM, ANAKAPALLE, Andhra Pradesh, 531002",ANAKAPALLE,VISHAKHAPATNAM,Andhra Pradesh,531002,8924 - 221111,www.dietakp.com,dadiratnakar@diet.edu.in,SRINIVASU CHINTALAPATI,SECRETARY & CORRESPONDENT,Regular,09-Jan-14,18 years,1 years,1 years,8924 - 221144,232344,dadiratnakar@diet.edu.in
DAGADOJIRAO DESHMUKH D.PHARMACY COLLEGE,1-412323311,"A/P-ALMALA TQ-AUSA DIST-LATUR, LATUR, ALMALA, Maharashtra, 413520",ALMALA,LATUR,Maharashtra,413556,2383 - 225522,www.dddpalmala.com,dddp.almala@gmail.com,VISHWESHWAR DHARASHIVE,SECRETARY,Regular,19-Sep-11,5 years,0 years,0 years,2383 - 225533,225522,basvdeep@gmail.com
DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING,1-447958521,"DMS SVH COLLEGE OF ENGINEERING,   MACHILIPATNAM BEACH ROAD  MACHILIPATNAM  PIN - 521 002, KRISHNA, MACHILIPATNAM, Andhra Pradesh, 521002",MACHILIPATNAM,KRISHNA,Andhra Pradesh,521002,8672 - 250450,www.svhce.org.in,principal.dmssvhce@gmail.com,SURYA PRAKASA RAO KAVURI,ADMINISTRATIVE OFFICER,Regular,06-Jul-12,24 years,18 years,18 years,918672 - 251677,251677,ao.office.dmssvhce@gmail.com
DAKSH INSTITUTE OF PHARMACEUTICAL SCIENCE,1-4633060,"27-NEW COLONY  CHHATARPUR MP, CHHATARPUR, CHHATARPUR, Madhya Pradesh, 471001",CHHATARPUR,CHHATARPUR,Madhya Pradesh,471001,7682 - 7682245900,www.dakshcollege.com,dakshinstitutechp@gmail.com,ANJANEYULU MURAGUNDLA,SECRETARY,Regular,08-Nov-14,11 years,0 years,4 years,7682 - 245900,245901,ajaylal.nigam@rediffmail.com
DALAL GLOBAL INSTITUTE OF TECHNOLOGY,1-7718681,"A-206, SOM APPARTMENTS,PLOT NO. 24, SEC-6,DWARKA, NEW DELHI-110075, NEW DELHI, DWARKA, Delhi, 110075",BERI,SOUTH DELHI,Delhi,124107,1262 - 216422,www.dalalglobal.ac.in,dalalglobalinstitute@yahoo.in,SHELLY RAJPUT,CHAIRMAN,Regular,01-Aug-14,13 years,4 years,0 years,11 - 25390508,1262216420,ksdalal@gmail.com
DALIA INSTITUTE OF DIPLOMA STUDIES,1-445545301,"20,SUBHDA SOCIETY,SATELITE,AHMEDABAD.380015, AHMEDABAD, AHMEDABAD, Gujarat, 380015",KANERA,MEHSANA,Gujarat,387540,2694 - 277524,www.dids.ac.in,parag1978@hotmail.com,NAVALBHAI PATEL,PRINCIPAL,Regular,27-Oct-10,36 years,0 years,0 years,79 - 26922860,2694277523,didskanera@rediffmail.com
DALY COLLEGE BUSINESS SCHOOL,1-7105991,"DALY COLLEGE BUSINESS SCHOOL,RESIDENCY AREA, MUSAKHEDI, INDORE, INDORE, Madhya Pradesh, 452001",INDORE,INDORE,Madhya Pradesh,452001,731 - 2701971,www.dcbsindia.org,principal@dalycollege.org,SUMER SINGH,DIRECTOR,Regular,01-Jun-03,34 years,4 years,0 years,731 - 2719046,2702674,principal@dalycollege.org
DAMISETTY BALA SURESH INSTITUTE OF TECHNOLOGY,1-5831671,"RAMAKRISHNA OIL MILL,D-NO-9-8-3,  VADDIPALEM,KAVALI,NELLORE(DT), NELLORE, KAVALI, Andhra Pradesh, 524201",KAVALI,NELLORE,Andhra Pradesh,524203,8626 - 211699,www.dbsinstitutions.com,dbsinstitutions@gmail.com,VIJAYA BHASKAR SIRIVELLA,SECRATARY,Regular,22-Jan-15,15 years,0 years,8 years,8626 - 211599,241413,dbsureshbabu@gmail.com
DARBHANGA COLLEGE OF ENGINEERING,1-43388094,"MABBI,P.O-LAL SHAHPUR,  VIA-P.T.C,  DARBHANGA-846005, DARBHANGA, DARBHANGA, Bihar, 846005",DARBHANGA,PATNA,Bihar,846005,6272 - 255255,www.dcedarbhanga.org,dcedbg@rediffmail.com,DR.ASEEM KUMAR THAKUR,PRINCIPAL,Incharge,24-Dec-11,29 years,12 years,0 years,6272 - 255255,225103,dcedbg@rediffmail.com
DARIPALLY ANANTHA RAMULU COLLEGE OF ENGINEERING AND TECHNOLOGY,1-7067588,"10-6-40/4/7,  BURHANPURAM, KHAMMAM, KHAMMAM, KHAMMAM RURAL, Telangana, 507003",KHAMMAM,KHAMMAM,Andhra Pradesh,507003,918742 - 645999,www.dare.ac.in,principal@dare.ac.in,VEERABRAHMAM PENTA,CORRESPONDENT,Regular,11-Jan-08,36 years,4 years,0 years,8742 - 645999,8742645999,kiran083@yahoo.com
DARJEELING POLYTECHNIC,1-486378513,"75/E J. M. GOENKA ROAD, P.O. KURSEONG, DIST. DARJEELING, PIN - 734203, DARJEELING, KURSEONG, West Bengal, 734203",KURSEONG,KOLKATA,West Bengal,734203,354 - 2344434,www.wbdtet.gov.in,darpoly2000@yahoo.co.in,SUBHASISH MUKHOPADHY,LECTURER IN PHYSICS,Regular,25-Aug-14,25 years,0 years,1 years,354 - 2344434,2344434,anillohar2010@gmail.com
DARSHAN INSTITUTE OF ENGINEERING & TECHNOLOGY,1-3049261,"40, BASERA PARK, OPP CRYSTAL MALL, KALAWAD ROAD, RAJKOT, RAJKOT, Gujarat, 360005",RAJKOT,RAJKOT,Gujarat,363650,2822 - 293010,www.darshan.ac.in,info@darshan.ac.in,RAMNIK DHAMSANIYA,PRESIDENT,Regular,01-Sep-12,28 years,5 years,0 years,2822 - 293012,293008,gnptrust@yahoo.co.in
DARSHAN INSTITUTE OF ENGINEERING & TECHNOLOGY FOR DIPLOMA STUDIES,1-412677211,"40, BASERA PARK, OPP CRYSTAL MALL, KALAWAD ROAD, RAJKOT, RAJKOT, Gujarat, 360005",RAJKOT,RAJKOT,Gujarat,363650,2822 - 293011,www.darshan.ac.in,info@darshan.ac.in,MANISH SANGHANI,PRESIDENT,Regular,15-Jun-09,20 years,2 years,0 years,2822 - 29302007,293008,gnptrust@yahoo.co.in
DATTA MEGHE INSTITUTE OF ENGINEERING TECHNOLOGY AND RESEARCH,1-6754053,"MEGHDOOT APPARTMENT, SAWANGI (MEGHE)  WARDHA- 442004, WARDHA, WARDHA, Maharashtra, 442004",WARDHA,NAGPUR,Maharashtra,442004,7152 - 287891,www.dmietr.edu.in,principal_dmietr@yahoo.com,SACHIN UNTAWALE,PRINCIPAL,Regular,07-Jan-13,25 years,11 years,0 years,7152 - 287891,287892,principal_dmietr@yahoo.com
DATTA MEGHE INSTITUTE OF MANAGEMENT STUDIES,1-4819813,"ATREY LAYOUT, NAGPUR, NAGPUR, NAGPUR, Maharashtra, 440022",NAGPUR,NAGPUR,Maharashtra,440022,712 - 2249527,www.dmims.edu.in,dmimsngp@gmail.com,SHINY CHIB,DIRECTOR,Regular,16-Oct-12,15 years,6 years,0 years,712 - 2249527,2243840,dmimsngp@gmail.com
DATTAKALA COLLEGE OF PHARMACY,1-2190736321,"GAT NO. 541/2, PUNE-SOLAPUR HIGHWAY, A/P- SWAMI-CHINCHOLI, TAL- DAUND, DIST- PUNE, PUNE, SWAMI-CHINCHOLI, Maharashtra, 413130",SWAMI-CHINCHOLI,PUNE,Maharashtra,413130,2117 - 203184,www.dattakala.edu.in,dattakalacop@gmail.com,SONIA SINGH,PRESIDENT,Regular,05-Jul-14,10 years,18 years,18 years,2117 - 203184,2118246348,dattakalacop@gmail.com
DATTAKALA GROUP OF INSTITUTIONS,1-5986711,"GAT NO. 541/2, PUNE-SOLAPUR HIGHWAY, A/P SWAMI-CHINCHOLI, TAL DAUND,DIST PUNE, PUNE, DAUND, Maharashtra, 413130",SWAMI-CHINCHOLI,PUNE,Maharashtra,413130,2117 - 203183,www.dattakala.edu.in,dkcom.edu@rediffmail.com,SHANKAR DR. SHARAD,PRESIDENT,Regular,23-Apr-14,19 years,5 years,10 years,2117 - 203183,2118246348,dkcom.edu@rediffmail.com
DATTAKALA POLYTECHNIC,1-449919241,"A/P DATTAKALA POLYTECHNIC,SWAMI-CHINCHOLI, TAL DAUND,DIST PUNE, PUNE, DAUND, Maharashtra, 413130",SWAMI-CHINCHOLI,PUNE,Maharashtra,413130,2117 - 203183,www.dattakala.edu.in/diploma/index.html,dattakalapoly@gmail.com,RAVINDRA SHENDGE,PRINCIPAL,Regular,07-Sep-09,21 years,2 years,1 years,2117 - 203183,2118246348,rbshendge@gmail.com
DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,1-432791092,"DAVIET, PALAMU, MEDININAGAR, Jharkhand, 822126",MEDININAGAR,PALAMU,Jharkhand,822126,6567 - 222079,www.davietpalamau.org,davietjharkhand@rediffmail.com,ALOK DWIVEDI,ADMN. OFFICER,Regular,31-Jan-13,3 years,5 years,5 years,6567 - 222079,222079,davietjharkhand@rediffmail.com
DAV INSTITUTE OF ENGINEERING & TECHNOLOGY,1-8277341,"DAV INSTITUTE OF ENGINEERING AND TECHNOLOGY  KABIR NAGAR, JALANDHAR, JALANDHAR, Punjab, 144008",JALANDHAR,NEW DELHI,Delhi,144008,181 - 2207650,www.davietjal.org,principal@davietjal.org,Manoj Kumar,PRINCIPAL,Regular,07-Sep-15,24 years,10 years,0 years,181 - 2207650,2205852,daviet@davietjal.org
DAV INSTITUTE OF MANAGEMENT,1-7848431,"H.NO. 577, SECTOR-15-A, FARIDABAD, FARIDABAD, Haryana, 121001",FARIDABAD,NEW DELHI,National Cap Teritory of Delhi,121001,129 - 2423474,www.davim.ac.in,neelamgulati2000@yahoo.com,NEELAM GULATI,PRINCIPAL (OFFG.),Regular,01-Jun-98,17 years,5 years,0 years,129 - 2423474,2423475,neelamgulati2000@yahoo.com
DAVID MEMORIAL BUSINESS SCHOOL,1-9790901,"PLOT NO 29, ROAD NO 5, MAHINDRAHILLS, SECUNDERABAD, HYDERABAD, SECUNDERABAD, Andhra Pradesh, 500026",YACHARAM MANDAL,HYDERABAD,Andhra Pradesh,501509,8414 - 243060,www.davidmemorial.in,admin@davidmemorial.in,VENKATA VADDULLA,CHAIRMAN/SECRETARY&CORRESPONDENT,Regular,16-Nov-09,17 years,0 years,0 years,40 - 27019503,27019903,admin@davidmemorial.in
DAVID MEMORIAL INSTITUTE OF MANAGEMENT,1-9762911,"PLOT NO 29, ROAD NO 5, MAHINDRAHILLS, SECUNDERABAD, HYDERABAD, SECUNDERABAD, Andhra Pradesh, 500026",SECUNDERABAD,HYDERABAD,Andhra Pradesh,500017,40 - 4027019503,www.davidmemorial.in,admin@davidmemorial.in,MALKAIAH TOPARAM,CHAIRMAN/SECRETARY&CORRESPONDENT,Adhoc/Contract,01-Oct-12,30 years,0 years,4 years,40 - 27019503,27019903,admin@davidmemorial.in
DAYAL GROUP OF INSTITUTION,1-2195471601,"9/30 SURYODAYA COLONY RANA PRATAP MARG, LUCKNOW, LUCKNOW, LUCKNOW, Uttar Pradesh, 226001",GRAM BAKKAS AND  MOAZZAM,LUCKNOW,Uttar Pradesh,226002,522 - 3919670,www.dgi.net.in,sundeep@dgimail.in,DR. VIRENDRA BAHADUR SINGH,CHAIRMAN,Regular,01-Aug-14,10 years,10 years,3 years,522 - 6069000,4047418,sundeep@dgimail.in
DAYALBAGH EDUCATIONAL INSTITUTE,1-482451854,"REGISTRAR  D.E.I. AGRA, AGRA, DAYALBAGH, Uttar Pradesh, 282110",AGRA,AGRA,Uttar Pradesh,282110,562 - 2801545,www.dei.ac.in,registrar.dei@gmail.com,PREM KUMAR KALRA,REGISTRAR,Regular,14-Sep-13,23 years,23 years,0 years,562 - 2801545,2801226,registrar.dei@gmail.com
DAYALBAGH EDUCATIONAL INSTITUTE - DEPARTMENT OF MANAGEMENT,1-444215021,"DAYALBAGH EDUCATIONAL INSTITUTE  DAYALBAGH  AGRA, 282110  U.P., AGRA, AGRA, Uttar Pradesh, 282005",AGRA,AGRA,Uttar Pradesh,282005,562 - 2801545,www.dei.ac.in,registrar.dei@gmail.com,PREM KUMAR KALRA,REGISTRAR,Regular,14-Sep-13,23 years,23 years,0 years,562 - 2801545,2801226,registrar.dei@gmail.com
DAYANAND ACADEMY OF MANAGEMENT STUDIES,1-5527081,"15/96 CIVIL LINES,KANPUR, KANPUR NAGAR, KANPUR, Uttar Pradesh, 208001",KANPUR,KANPUR NAGAR,Uttar Pradesh,208006,512 - 2650021,www.damsindia.org,damsknp@gmail.com,SHIVANI KAPOOR,SECRETARY,Regular,14-Sep-09,12 years,5 years,0 years,512 - 2650021,2303111,damsknp@gmail.com
DAYANAND DINANATH COLLEGE OF MANAGEMENT,1-34656414,"NH86 AFZALPUR, RAMAIPUR, MAIN HAMIRPUR ROAD, KANPUR., KANPUR NAGAR, KANPUR, Uttar Pradesh, 209214",KANPUR,KANPUR NAGAR,Uttar Pradesh,209214,512 - 2155097,www.ddckanpur.edu.in,mailddc@yahoo.co.in,DR. SHAILENDRA KUMAR GUPTA,CHAIRMAN,Regular,10-Jul-07,13 years,3 years,0 years,512 - 2155097,2732999,mailddc@yahoo.co.in
